game,net winnings,bet
1,23.0,103.0
2,-6.5,47.0
3,37.0,293.0
4,6.5,86.0
5,33.5,337.0
6,3.0,47.0
7,11.0,49.0
8,-1.5,53.0
9,-7.5,45.0
10,48.5,319.0
11,10.0,46.0
12,-29.5,409.0
13,-6.5,48.0
14,10.0,48.0
15,8.0,50.0
16,35.5,199.0
17,-3.0,48.0
18,-10.5,50.0
19,7.0,53.0
20,-15.5,238.0
21,-98.5,142.0
22,-11.0,49.0
23,2.0,49.0
24,4.5,47.0
25,-5.5,48.0
26,1.5,45.0
27,-1.5,50.0
28,-18.5,66.0
29,10.0,47.0
30,-1.0,49.0
31,-26.0,67.0
32,0.5,48.0
33,3.5,51.0
34,0.0,52.0
35,-35.0,144.0
36,2.0,50.0
37,-5.5,48.0
38,-7.0,46.0
39,-17.5,53.0
40,-7.5,47.0
41,9.5,50.0
42,-4.0,47.0
43,-9.5,44.0
44,-11.5,219.0
45,-45.0,429.0
46,-1.0,49.0
47,-2.5,49.0
48,-4.5,83.0
49,-9.5,46.0
50,3.5,49.0
51,-0.5,47.0
52,-11.0,43.0
53,-4.0,45.0
54,-4.5,52.0
55,156.5,234.0
56,-16.0,48.0
57,-6.0,49.0
58,-10.5,46.0
59,-5.0,49.0
60,-3.5,46.0
61,12.5,260.0
62,-10.0,47.0
63,8.5,46.0
64,-10.0,51.0
65,0.5,47.0
66,-6.0,46.0
67,2.5,44.0
68,-71.5,465.0
69,101.5,447.0
70,-29.0,85.0
71,3.5,47.0
72,-24.0,162.0
73,-13.0,70.0
74,17.0,51.0
75,6.0,49.0
76,6.0,46.0
77,9.0,48.0
78,-2.0,47.0
79,5.0,49.0
80,-1.5,46.0
81,22.0,69.0
82,14.5,48.0
83,79.0,161.0
84,58.0,85.0
85,-11.5,103.0
86,8.5,47.0
87,2.0,49.0
88,-2.0,48.0
89,52.5,223.0
90,5.0,48.0
91,-5.0,44.0
92,-2.5,88.0
93,2.5,47.0
94,-3.0,48.0
95,-6.5,53.0
96,7.5,49.0
97,4.0,48.0
98,-6.5,291.0
99,-27.0,122.0
100,-5.0,49.0
101,8.0,46.0
102,1.0,51.0
103,24.0,64.0
104,1.0,51.0
105,44.5,273.0
106,-10.0,44.0
107,-83.5,165.0
108,4.5,44.0
109,1.5,47.0
110,-2.5,45.0
111,11.0,52.0
112,0.5,46.0
113,3.5,45.0
114,6.0,46.0
115,1.5,47.0
116,-52.5,238.0
117,6.0,49.0
118,-2.0,47.0
119,112.0,352.0
120,16.5,50.0
121,-13.5,45.0
122,4.5,45.0
123,4.0,48.0
124,-7.0,50.0
125,-1.5,43.0
126,3.0,51.0
127,8.0,51.0
128,14.0,48.0
129,-2.0,44.0
130,8.0,47.0
131,247.5,597.0
132,8.0,52.0
133,0.0,49.0
134,-0.5,50.0
135,10.0,52.0
136,8.5,47.0
137,11.0,49.0
138,-10.0,49.0
139,-10.0,48.0
140,-3.0,47.0
141,-57.5,295.0
142,-60.5,293.0
143,0.5,50.0
144,0.5,48.0
145,-3.5,45.0
146,-10.5,50.0
147,0.5,67.0
148,-116.5,312.0
149,7.5,51.0
150,56.0,295.0
151,8.0,49.0
152,7.5,49.0
153,-5.0,54.0
154,-35.0,331.0
155,-28.5,106.0
156,1.5,49.0
157,-9.0,43.0
158,9.0,47.0
159,-9.0,50.0
160,57.0,156.0
161,-4.5,46.0
162,-3.0,72.0
163,112.5,375.0
164,-29.5,163.0
165,10.5,50.0
166,25.0,144.0
167,18.0,791.0
168,-16.5,49.0
169,44.0,88.0
170,4.5,49.0
171,-4.5,50.0
172,56.5,292.0
173,-24.5,67.0
174,-10.5,48.0
175,-1.5,53.0
176,-4.0,48.0
177,-7.5,49.0
178,-13.5,47.0
179,0.0,47.0
180,2.5,47.0
181,-8.5,46.0
182,-147.5,393.0
183,-5.5,105.0
184,-1.5,50.0
185,12.5,52.0
186,4.0,48.0
187,-7.5,297.0
188,2.5,47.0
189,-32.5,81.0
190,-9.0,53.0
191,-9.0,52.0
192,9.0,49.0
193,-8.0,48.0
194,44.5,234.0
195,-13.5,49.0
196,-6.5,51.0
197,8.5,48.0
198,-102.0,256.0
199,-39.0,86.0
200,-8.0,44.0
201,-6.5,45.0
202,106.0,331.0
203,62.5,146.0
204,-5.5,51.0
205,9.0,49.0
206,81.0,390.0
207,8.0,68.0
208,29.0,293.0
209,-112.0,657.0
210,-150.0,349.0
211,46.5,109.0
212,-40.0,339.0
213,-27.5,146.0
214,-4.0,48.0
215,-2.5,51.0
216,13.0,83.0
217,38.0,106.0
218,2.5,48.0
219,59.5,464.0
220,7.0,46.0
221,3.5,431.0
222,5.0,48.0
223,17.5,66.0
224,60.5,143.0
225,-6.5,46.0
226,-11.5,47.0
227,-1.0,48.0
228,-3.0,49.0
229,5.5,46.0
230,-51.0,274.0
231,9.0,66.0
232,24.5,143.0
233,-22.5,163.0
234,69.5,162.0
235,76.5,219.0
236,68.5,110.0
237,-19.0,68.0
238,5.5,49.0
239,-8.0,45.0
240,46.5,657.0
241,-4.5,49.0
242,18.5,47.0
243,-3.0,104.0
244,-5.0,46.0
245,3.0,48.0
246,-85.0,238.0
247,-8.5,46.0
248,3.0,50.0
249,-30.5,68.0
250,-14.0,106.0
251,131.0,218.0
252,-31.0,275.0
253,51.0,428.0
254,-0.5,53.0
255,-32.0,105.0
256,5.5,45.0
257,1.0,45.0
258,-0.5,55.0
259,0.5,47.0
260,-2.0,50.0
261,129.5,428.0
262,2.0,50.0
263,4.5,45.0
264,-3.0,48.0
265,-22.0,69.0
266,3.0,50.0
267,-13.5,51.0
268,-3.5,49.0
269,-2.0,50.0
270,13.0,69.0
271,45.5,121.0
272,-5.5,47.0
273,-2.5,48.0
274,8.5,123.0
275,5.0,47.0
276,32.0,276.0
277,49.5,356.0
278,-7.5,47.0
279,-14.0,49.0
280,-15.5,67.0
281,-11.5,65.0
282,-75.5,163.0
283,-18.5,223.0
284,2.5,50.0
285,-21.0,66.0
286,-6.0,46.0
287,8.5,73.0
288,1.0,51.0
289,18.0,238.0
290,-41.0,162.0
291,5.5,47.0
292,4.0,49.0
293,2.5,47.0
294,-2.0,49.0
295,5.0,52.0
296,-64.0,236.0
297,-3.0,46.0
298,3.0,50.0
299,11.5,104.0
300,82.5,388.0
301,18.5,70.0
302,2.5,47.0
303,81.0,126.0
304,9.0,45.0
305,34.5,68.0
306,5.0,49.0
307,-11.5,220.0
308,6.5,49.0
309,1.0,50.0
310,7.0,45.0
311,-1.0,47.0
312,-65.5,110.0
313,-15.0,47.0
314,-1.0,49.0
315,56.5,166.0
316,-1.0,52.0
317,-13.0,47.0
318,-180.0,599.0
319,-15.0,104.0
320,5.5,49.0
321,8.0,160.0
322,2.0,51.0
323,1.5,48.0
324,5.0,257.0
325,-47.0,109.0
326,-52.0,372.0
327,-5.5,50.0
328,-5.5,47.0
329,-87.0,255.0
330,-50.5,163.0
331,-13.5,45.0
332,4.0,48.0
333,-5.0,49.0
334,48.5,274.0
335,16.5,47.0
336,2.0,49.0
337,-0.5,49.0
338,-98.5,372.0
339,27.0,68.0
340,-3.5,48.0
341,9.5,49.0
342,-39.0,126.0
343,-8.5,45.0
344,10.5,88.0
345,2.0,52.0
346,-1.0,50.0
347,95.0,220.0
348,3.0,51.0
349,-11.5,106.0
350,0.5,122.0
351,6.0,44.0
352,3.0,44.0
353,18.5,103.0
354,1.5,237.0
355,-7.5,47.0
356,12.5,64.0
357,-7.5,49.0
358,17.5,69.0
359,1.0,45.0
360,-40.5,257.0
361,6.0,46.0
362,24.0,51.0
363,5.0,48.0
364,37.0,447.0
365,-7.5,48.0
366,7.0,49.0
367,-77.5,180.0
368,-4.0,47.0
369,-8.5,46.0
370,1.5,52.0
371,2.0,49.0
372,0.0,48.0
373,35.5,180.0
374,7.0,49.0
375,153.5,389.0
376,1.0,49.0
377,-3.0,48.0
378,-36.0,86.0
379,-160.0,279.0
380,-6.5,447.0
381,-4.5,48.0
382,3.5,54.0
383,1.0,48.0
384,-41.5,82.0
385,-89.5,255.0
386,12.0,50.0
387,-5.5,47.0
388,-19.0,68.0
389,78.5,203.0
390,-12.0,48.0
391,0.5,48.0
392,72.5,199.0
393,0.0,47.0
394,27.0,428.0
395,60.5,104.0
396,-3.0,50.0
397,-2.0,47.0
398,-20.0,49.0
399,-17.0,66.0
400,-68.0,240.0
401,2.0,376.0
402,3.5,50.0
403,-44.5,349.0
404,-10.5,51.0
405,3.0,46.0
406,3.5,51.0
407,-1.0,53.0
408,5.0,44.0
409,-0.5,161.0
410,14.5,52.0
411,30.0,123.0
412,32.0,128.0
413,21.0,66.0
414,-63.0,352.0
415,0.0,43.0
416,-2.5,44.0
417,-10.0,52.0
418,3.0,47.0
419,-5.0,45.0
420,7.5,50.0
421,0.5,83.0
422,234.0,426.0
423,-0.5,49.0
424,2.5,50.0
425,-41.5,123.0
426,18.0,125.0
427,109.5,444.0
428,5.0,47.0
429,-7.5,46.0
430,-7.0,52.0
431,15.5,46.0
432,2.0,48.0
433,9.5,46.0
434,42.5,84.0
435,57.0,142.0
436,7.0,46.0
437,-6.0,47.0
438,-19.5,178.0
439,-4.5,51.0
440,6.0,48.0
441,14.5,103.0
442,-4.0,47.0
443,36.0,71.0
444,-68.0,158.0
445,7.0,48.0
446,50.5,242.0
447,-2.5,47.0
448,14.5,67.0
449,68.0,163.0
450,0.0,47.0
451,-1.5,48.0
452,14.5,158.0
453,9.5,200.0
454,7.5,47.0
455,-10.5,47.0
456,4.5,52.0
457,-5.5,49.0
458,0.5,49.0
459,-3.0,46.0
460,7.0,48.0
461,1.0,46.0
462,44.0,160.0
463,-11.5,67.0
464,9.5,47.0
465,9.0,46.0
466,4.0,48.0
467,8.5,45.0
468,30.5,64.0
469,-2.5,257.0
470,-66.5,133.0
471,-17.0,124.0
472,-4.5,47.0
473,5.0,48.0
474,-2.0,48.0
475,-1.0,184.0
476,-1.0,44.0
477,-9.0,49.0
478,2.0,45.0
479,-3.0,54.0
480,3.5,53.0
481,2.5,46.0
482,4.5,47.0
483,3.5,51.0
484,12.0,50.0
485,4.5,47.0
486,101.0,407.0
487,104.0,177.0
488,-14.5,46.0
489,7.5,48.0
490,-2.0,48.0
491,-8.0,48.0
492,-7.5,45.0
493,6.5,48.0
494,-8.5,50.0
495,-6.0,51.0
496,90.0,122.0
497,-4.0,46.0
498,12.5,52.0
499,21.5,122.0
500,-5.0,48.0
501,-5.5,44.0
502,24.0,104.0
503,-2.5,46.0
504,119.0,313.0
505,-0.5,51.0
506,-6.0,49.0
507,10.5,49.0
