game,net winnings,bet
1,5.5,49.0
2,1.5,48.0
3,-7.0,47.0
4,-8.5,48.0
5,-7.5,45.0
6,3.0,50.0
7,10.5,48.0
8,-5.0,46.0
9,-46.5,236.0
10,-151.5,525.0
11,1.0,47.0
12,-14.5,66.0
13,-3.0,123.0
14,-30.5,219.0
15,-8.0,45.0
16,48.0,81.0
17,-4.5,46.0
18,4.0,47.0
19,33.5,159.0
20,-24.0,106.0
21,-5.5,47.0
22,9.0,46.0
23,12.0,49.0
24,7.0,51.0
25,78.5,146.0
26,-2.5,45.0
27,-6.5,220.0
28,6.0,52.0
29,24.5,162.0
30,5.0,48.0
31,-5.5,48.0
32,7.0,67.0
33,-1.0,49.0
34,-3.5,49.0
35,4.5,51.0
36,90.5,143.0
37,56.0,197.0
38,-1.5,48.0
39,-10.0,49.0
40,-1.0,46.0
41,47.5,125.0
42,17.0,504.0
43,9.0,51.0
44,8.5,54.0
45,0.0,55.0
46,-25.5,67.0
47,-13.0,52.0
48,3.0,45.0
49,32.0,277.0
50,-2.0,48.0
51,21.0,218.0
52,-17.5,67.0
53,1.0,47.0
54,-124.0,217.0
55,16.5,93.0
56,2.5,48.0
57,8.0,49.0
58,10.0,48.0
59,-34.0,426.0
60,-5.5,51.0
61,30.0,102.0
62,-5.0,47.0
63,-17.0,198.0
64,3.0,51.0
65,25.5,103.0
66,24.0,66.0
67,29.0,107.0
68,-2.0,49.0
69,20.5,105.0
70,16.5,50.0
71,-0.5,51.0
72,8.5,47.0
73,-25.5,68.0
74,-10.5,161.0
75,-5.5,48.0
76,0.0,50.0
77,-26.5,105.0
78,24.0,142.0
79,-38.5,65.0
80,-1.5,46.0
81,3.0,50.0
82,-8.5,541.0
83,-2.0,46.0
84,-3.5,105.0
85,4.5,46.0
86,46.5,484.0
87,10.5,50.0
88,-10.0,44.0
89,-5.5,121.0
90,-2.5,181.0
91,-7.0,46.0
92,-4.5,52.0
93,1.5,272.0
94,-5.5,49.0
95,4.5,46.0
96,5.0,49.0
97,47.0,353.0
98,-18.5,45.0
99,-1.5,49.0
100,2.0,46.0
101,3.5,48.0
102,12.5,50.0
103,2.0,50.0
104,21.5,182.0
105,-1.5,53.0
106,-2.0,48.0
107,-60.0,103.0
108,-2.5,48.0
109,3.0,51.0
110,2.0,46.0
111,13.0,52.0
112,14.5,48.0
113,-6.0,48.0
114,-12.5,89.0
115,0.5,43.0
116,-1.0,47.0
117,8.0,48.0
118,39.0,388.0
119,-25.5,64.0
120,-29.0,65.0
121,-62.5,199.0
122,2.0,44.0
123,10.5,47.0
124,-40.5,85.0
125,-72.0,124.0
126,9.0,50.0
127,2.5,48.0
128,-0.5,47.0
129,32.0,350.0
130,-1.5,44.0
131,-25.5,68.0
132,-82.5,282.0
133,-28.0,253.0
134,-11.5,50.0
135,-6.0,48.0
136,-18.0,128.0
137,-2.0,46.0
138,-7.0,48.0
139,-38.0,64.0
140,4.0,51.0
141,2.0,373.0
142,-87.5,411.0
143,12.0,48.0
144,0.5,48.0
145,3.0,122.0
146,-7.5,51.0
147,3.0,45.0
148,8.5,237.0
149,-5.5,46.0
150,-2.0,51.0
151,6.5,68.0
152,-21.0,106.0
153,0.0,45.0
154,11.5,47.0
155,23.5,64.0
156,92.5,200.0
157,-10.0,47.0
158,63.0,125.0
159,46.5,125.0
160,-2.0,47.0
161,-6.0,47.0
162,10.5,47.0
163,-17.0,50.0
164,52.0,106.0
165,-6.0,53.0
166,-166.5,333.0
167,44.0,87.0
168,-4.5,49.0
169,-2.5,48.0
170,-12.0,45.0
171,-3.0,48.0
172,17.5,44.0
173,57.5,86.0
174,27.0,70.0
175,4.5,50.0
176,91.5,161.0
177,114.0,294.0
178,5.0,48.0
179,1.5,46.0
180,14.0,51.0
181,3.0,46.0
182,-12.5,51.0
183,-5.5,44.0
184,-45.0,486.0
185,-245.5,489.0
186,5.0,48.0
187,4.0,44.0
188,-2.0,47.0
189,-5.5,48.0
190,-10.5,46.0
191,4.5,46.0
192,10.5,48.0
193,-1.0,45.0
194,26.0,637.0
195,57.0,219.0
196,-22.0,67.0
197,-8.0,44.0
198,33.0,67.0
199,-5.5,50.0
200,5.0,46.0
201,-4.5,49.0
202,-25.5,69.0
203,8.5,50.0
204,-6.0,53.0
205,6.0,50.0
206,13.0,50.0
207,10.5,49.0
208,-58.0,142.0
209,-82.5,197.0
210,-15.5,104.0
211,-3.5,50.0
212,31.5,107.0
213,52.0,223.0
214,-8.5,48.0
215,-7.0,46.0
216,-19.5,104.0
217,-31.5,107.0
218,-6.0,50.0
219,2.0,142.0
220,-11.5,47.0
221,-5.5,83.0
222,-0.5,43.0
223,-4.5,47.0
224,-7.0,46.0
225,-11.5,44.0
226,18.5,70.0
227,3.0,50.0
228,2.5,47.0
229,-16.0,51.0
230,0.5,47.0
231,3.0,51.0
232,-2.0,49.0
233,122.0,259.0
234,14.5,46.0
235,-15.0,45.0
236,11.0,48.0
237,10.0,47.0
238,-8.5,47.0
239,-0.5,48.0
240,-2.5,46.0
241,-20.0,84.0
242,-15.5,50.0
243,115.0,218.0
244,0.0,48.0
245,0.5,44.0
246,2.5,49.0
247,-0.5,49.0
248,1.5,46.0
249,8.0,51.0
250,36.0,120.0
251,16.5,48.0
252,27.5,541.0
253,-5.0,44.0
254,-36.0,86.0
255,-0.5,47.0
256,-17.0,103.0
257,122.5,426.0
258,-5.5,48.0
259,-10.0,48.0
260,28.5,108.0
261,1.5,49.0
262,-7.5,49.0
263,-27.0,62.0
264,-22.0,69.0
265,-1.0,45.0
266,9.5,48.0
267,-56.0,489.0
268,18.0,48.0
269,10.0,50.0
270,98.0,315.0
271,161.5,694.0
272,27.5,158.0
273,3.0,50.0
274,5.0,50.0
275,4.5,51.0
